SSID,BSSID,Signal,Channel,Vendor
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-64,0,Unknown
internet1,04:75:f9:04:8a:39:,-74,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-83,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-64,0,Unknown
ALHN-5E6B-5,04:75:f9:27:4e:35:,-83,0,Unknown
shahisneha_5,e0:3d:a6:38:d3:9d:,-63,0,Unknown
mildhigh-5G,04:20:84:50:bd:2a:,-74,0,Unknown
kopilakhadka_5,d8:b0:20:3b:02:5d:,-88,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-84,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-85,0,Unknown
kopilakhadka_2,d8:b0:20:3b:02:59:,-71,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-76,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-70,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-74,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-62,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-71,0,Unknown
internet1,04:75:f9:04:8a:39:,-74,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-79,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-70,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-83,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
internet1,04:75:f9:04:8a:39:,-74,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-83,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
ALHN-5E6B-5,04:75:f9:27:4e:35:,-83,0,Unknown
shahisneha_5,e0:3d:a6:38:d3:9d:,-63,0,Unknown
mildhigh-5G,04:20:84:50:bd:2a:,-74,0,Unknown
kopilakhadka_5,d8:b0:20:3b:02:5d:,-88,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-84,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-85,0,Unknown
kopilakhadka_2,d8:b0:20:3b:02:59:,-71,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-76,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-70,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-74,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-62,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-71,0,Unknown
internet1,04:75:f9:04:8a:39:,-74,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-79,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-70,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-83,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-82,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-70,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-82,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-77,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-70,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-75,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-60,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-78,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-56,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-82,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-82,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-70,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-76,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-68,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-60,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-79,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-57,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-59,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-71,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-73,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-59,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-83,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-87,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-60,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-73,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-78,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-70,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-62,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-76,0,Unknown
mrkunwar_2.4,04:75:f9:1a:a3:a5:,-78,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-78,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-56,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-64,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-82,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-64,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-71,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-83,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-56,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-73,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-68,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-63,0,Unknown
mrkunwar_2.4,04:75:f9:1a:a3:a5:,-79,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-78,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-64,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-85,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-70,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-84,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-78,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-70,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-66,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-76,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
internet1,04:75:f9:04:8a:39:,-77,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-71,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-85,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-60,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-76,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-70,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-80,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-62,0,Unknown
mrkunwar_2.4,04:75:f9:1a:a3:a5:,-78,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-76,0,Unknown
internet1,04:75:f9:04:8a:39:,-77,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-75,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-71,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-71,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-84,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-86,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-76,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-66,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-78,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-79,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-62,0,Unknown
